Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Accor | ALL (Accor Live Limitless),Fairmont Waterfront vs....,1899-12-30 19:31:00,3.5k,67.3k,by Ubud,Ubud,"Raffles, Orient-Express, Faena, Banyan Tree, Delano, Sofitel Legend, Fairmont, Emblems Collection, SLS, SO/, Sofitel, The House of Originals, Rixos, onefinestay, Mantis, MGallery, Art Series, Mondrian, Pullman, Swissôtel, Angsana, 25hours, Hyde, Mövenpick, Grand Mercure, Peppers, The Sebel, Mantra, Novotel, Mercure, Handwritten Collection, Aparthotel Adagio, Mama Shelter, Tribe, BreakFree, ibis, ibis Styles, greet, ibis budget, JO&JOE, hotelF1"
Choice | Choice Privileges,Choice Privileges Co-brand...,1899-12-30 13:18:00,1.5k,15.1k,by ChoiceHotels,ChoiceHotels,"Comfort Inn, Comfort Suites, Quality, Sleep Inn, Clarion, Cambria Suites, MainStay Suites, Suburban, EconoLodge, Rodeway Inn, Ascend.  Also Radisson properties in all of the Americas (North/Central/South and the Caribbean) as of July 2023."
Expert Hotel Reviews,Corinthia Hotel Lisbon,1899-12-30 08:47:00,421,600,by marcopizzaiuolo,marcopizzaiuolo,Hotel reviews created by FlyerTalk's elite-status travelers.
Hilton | Hilton Honors,Conrad Bangkok {THA},1899-12-30 02:00:00,19.8k,630.6k,by sbams,sbams,"Waldorf-Astoria, Conrad, Hilton, DoubleTree, Embassy Suites, Hilton Garden Inn, Hampton Inns & Suites, Homewood Suites, Home2 Suites, Curio, Canopy, Motto, Spark by Hilton, Tru, Tapestry Collection, Project H3, LXR Hotels & Resorts, Signia Hilton & Hilton Grand Vacations."
Hyatt | World of Hyatt,Hyatt Regency Kathmandu...,1899-12-30 02:36:00,13.3k,413.9k,by khabah,khabah,"Alila, Andaz, Alua, breathless, Caption by Hyatt, Destination Hotels, Dreams, Grand Hyatt, Hyatt Centric, Hyatt Hotels, Hyatt House, Hyatt Place, Hyatt Regency, Hyatt Residence Club, Hyatt Vivid, Hyatt Zilara, Hyatt Ziva, jdv by Hyatt, Miraval, Park Hyatt, Sunscape, Secrets, The Unbound Collection, Thompson Hotels, UrCove, Zoetry, MLife, Mr & Mrs Smith and World of Hyatt."
InterContinental Hotels | IHG One Rewards and Intercontinental Ambassador,IC London Park Lane Master...,1899-12-30 02:49:00,17.4k,356.1k,by HadesNL,HadesNL,"InterContinental Hotels Group (IHG) with IHG One Rewards: Six Senses, InterContinental Hotels and Resort, Regent, Vignette Collection, Kimpton, Hotel Indigo, voco, Hualuxe Hotels and Resorts, Even Hotels, Crowne Plaza Hotels and Resorts, Iberostar Beachfront Resorts, Holiday Inn Express, Holiday Inn Hotels, avid, Atwell Suites, Staybridge Suites, Holiday Inn Club Vacation, Candlewood Suites"
Marriott | Marriott Bonvoy,Welcome Mail from Revenue...,1899-12-30 02:45:00,8.6k,504.3k,by LgmDan,LgmDan,"Bulgari, JW Marriott, Edition, Autograph Collection, Renaissance, AC, Marriott, Gaylord, Courtyard, Springhill Suites, Fairfield Inn, Residence Inn, TownPlace Suites, Marriott Executive Apartments, Marriott Vacation Club, Moxy, Protea, Delta, Ritz Carlton, 
W Hotels, Westin, Sheraton, Le Meridien, St. Regis, The Luxury Collection, Design Hotels, Four Points, aLoft, element and Tribute Portfolio."
Mr. and Mrs. Smith,Mr and Mrs Smith / Hyatt...,1899-12-30 22:19:00,20,311,by vincentzh306,vincentzh306,Mr. and Mrs. Smith hotels and association with Hyatt
Non-hotel Lodging Services including Airbnb and VRBO,OneKey: new rewards scheme...,1899-12-30 01:50:00,137,2.1k,by myeurocrush,myeurocrush,"Practices and policies of alternative lodging services such as non-hotel vacation rentals, Airbnb, VRBO, HomeAway and Homestay.  This is not for reviews of specific properties.  Couchsurfing is discussed in the Budget Travel forum."
Other Hotel Chains,Anantara Siam Bangkok = Past...,1899-12-30 05:53:00,1.8k,11.9k,by EGW1,EGW1,"Any hotel chain without a dedicated forum such as the Global Hotel Alliance, Langham Hospitality Group, and Shangri-La Hotels & Resorts"
Radisson International | Radisson Rewards,Istanbul recommendation and...,1899-12-30 11:27:00,2.8k,30.6k,by marcopizzaiuolo,marcopizzaiuolo,"Radisson BLU, Radisson, Park Plaza, Park Inn, Country Inn and Suites.  Radisson properties in all of the Americas (North/Central/South and the Caribbean) are part of Choice as of July 2023"
Small Luxury Hotels (SLH),Belize: Any...,1899-12-30 19:09:00,127,1.7k,by Thunderroad,Thunderroad,"Small Luxury Hotel properties, and association with World of Hyatt"
Wyndham | Wyndham Rewards,Wyndham/ caesars status match...,1899-12-30 22:12:00,1.2k,11.7k,by flyer4512,flyer4512,"Wyndham Hotels & Resorts, Wyndham Grand, Wyndham Garden, Tryp, Wingate, Hawthorn Suites, Microtel, Dream Resorts, Ramada Worldwide, Ramada Encore, Night Hotel, Baymont Inn & Suites, Days Hotels, Days Inn, La Quinta, Super8, Howard Johnson, Travelodge (US only) and Knights Inn"
